,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,gps_code,iata_code
58765,small_airport,Ricardo Raver Airport,-34.312485,-57.041631,92.0,SA,UY,,
58766,small_airport,Aeroclub Guichón Airfield,-32.346251,-57.170861,276.0,SA,UY,,
58767,small_airport,Saman Lascano Airport,-33.755113,-54.148823,163.0,SA,UY,,
58768,small_airport,La Media Luna Airport,-30.4053,-57.2756,255.0,SA,UY,,
58770,small_airport,Florida Aviation Center,-34.08392,-56.186665,188.0,SA,UY,SUFL,
58771,small_airport,Juan B. Desalvo Airport,-33.485556,-56.890833,423.0,SA,UY,SUTD,
58772,small_airport,Aim Southeast Airport,40.75339889526367,72.7522964477539,2240.0,AS,UZ,,
58773,small_airport,Ak Kurgan Airport,40.86330032348633,69.02899932861328,969.0,AS,UZ,,
58774,small_airport,Ak Tepe Airport,41.3045005798,69.197303772,1386.0,AS,UZ,,
58775,small_airport,Andizhan Northeast Airport,40.88850021362305,72.4052963256836,1585.0,AS,UZ,,
58776,small_airport,Balykchi Southwest Airport,40.82720184326172,71.76799774169922,1344.0,AS,UZ,,
58777,small_airport,Besh Kotan Airport,37.49160003662109,66.97859954833984,1063.0,AS,UZ,,
58778,small_airport,Charkhin Airport,39.666500091552734,66.77050018310547,2200.0,AS,UZ,,
58779,small_airport,Chartak Airport,40.94770050048828,69.0438003540039,999.0,AS,UZ,,
58780,small_airport,Chinaz Highway Airstrip,40.97949981689453,68.79219818115234,923.0,AS,UZ,,
58781,small_airport,Dustlik North Airport,40.54980850219727,68.08370971679688,879.0,AS,UZ,,
58782,small_airport,Dutyr Airport,40.372501373291016,71.37049865722656,1473.0,AS,UZ,,
58783,small_airport,Dzhangabirlyk West Airport,43.11880111694336,58.37360000610352,300.0,AS,UZ,,
58784,small_airport,Dzhar-Tepe Airport,39.16740036010742,66.7145004272461,2022.0,AS,UZ,,
58785,small_airport,Fergana Southwest Airport,40.30910110473633,71.7145004272461,2327.0,AS,UZ,,
58786,small_airport,Galyabita East Airport,38.419700622558594,68.1010971069336,1940.0,AS,UZ,,
58787,small_airport,Guzar Airport,38.63470077514648,66.27279663085938,1679.0,AS,UZ,,
58788,small_airport,Ilich Airport,40.875301361083984,68.4625015258789,852.0,AS,UZ,,
58789,small_airport,Ilich North Airport,40.93920135498047,68.52020263671875,835.0,AS,UZ,,
58790,small_airport,Imeni Kirova Airport,40.63370132446289,68.61579895019531,875.0,AS,UZ,,
58791,small_airport,Kalinovka / Angren Airport,41.02790069580078,69.20020294189453,1132.0,AS,UZ,,
58792,small_airport,Kamashi Airport,38.80440139770508,66.52960205078125,1780.0,AS,UZ,,
58793,small_airport,Kara Kalpak Airport,40.80339813232422,71.18920135498047,1229.0,AS,UZ,,
58794,small_airport,Kayki Airport,41.0786018371582,72.02860260009766,1570.0,AS,UZ,,
58795,small_airport,Kokand South Airport,40.446998596191406,70.98650360107422,1652.0,AS,UZ,,
58796,small_airport,Kokand Southeast Airport,40.37739944458008,71.08879852294922,1890.0,AS,UZ,,
58797,small_airport,Kosh Rabat Airport,39.766998291015625,64.31210327148438,715.0,AS,UZ,,
58798,small_airport,Kumushkent Airport,39.80799865722656,66.84429931640625,2025.0,AS,UZ,,
58799,small_airport,Kuva Southeast Airport,40.48350143432617,72.28170013427734,1973.0,AS,UZ,,
58800,small_airport,Kuva West Airport,40.50450134277344,71.90270233154297,1591.0,AS,UZ,,
58801,small_airport,Muglan Airport,38.901798248291016,65.39669799804688,1050.0,AS,UZ,,
58802,small_airport,Muruntau Southeast Airport,41.47116470336914,64.66607666015625,1340.0,AS,UZ,,
58803,small_airport,Namangan Northeast Airport,41.04359817504883,71.78890228271484,1591.0,AS,UZ,,
58804,small_airport,Naubag Airport,37.65290069580078,66.97380065917969,1264.0,AS,UZ,,
58805,small_airport,Nishan Airport,38.58919906616211,65.60970306396484,1165.0,AS,UZ,,
58806,small_airport,Nukus South Airport,42.36360168457031,59.516998291015625,240.0,AS,UZ,,
58807,small_airport,Obi Kiik Airport,38.249298095703125,67.7217025756836,2213.0,AS,UZ,,
58808,small_airport,Ostrov Vozrozhdeniya Airport,45.15719985961914,59.296199798583984,232.0,AS,UZ,,
58809,small_airport,Ostrov Vozrozhdeniya Southwest Airport,45.09040069580078,59.22209930419922,194.0,AS,UZ,,
58810,small_airport,Pap Airport,40.88859939575195,71.09130096435547,1516.0,AS,UZ,,
58812,small_airport,Saybui Airport,40.63600158691406,71.70069885253906,1391.0,AS,UZ,,
58813,small_airport,Shirabad Northeast Airport,37.69039916992188,67.05039978027344,1313.0,AS,UZ,,
58814,small_airport,Shur Ob East Airport,37.39509963989258,67.03990173339844,936.0,AS,UZ,,
58815,small_airport,Shurchi North Airport,38.03099822998047,67.79219818115234,1483.0,AS,UZ,,
58816,small_airport,Soldatskiy Southeast Airport,40.789398193359375,68.97740173339844,960.0,AS,UZ,,
58817,small_airport,Statsiya Yakkabag Airport,38.97460174560547,66.73059844970703,1970.0,AS,UZ,,
58818,small_airport,Syrdaya Airport,40.80910110473633,68.68769836425781,858.0,AS,UZ,,
58819,small_airport,Syrdaya Highway Southwest Airstrip,40.772499084472656,68.5635986328125,864.0,AS,UZ,,
58820,small_airport,Talimardzhan Airport,38.30799865722656,65.55339813232422,1257.0,AS,UZ,,
58821,small_airport,Tardzhilga Airport,39.24829864501953,66.26609802246094,1616.0,AS,UZ,,
58822,small_airport,Tashkent Angor Airport,37.464298248291016,67.07929992675781,1041.0,AS,UZ,,
58823,small_airport,Termez East Airport,37.280799865722656,67.3655014038086,1024.0,AS,UZ,,
58825,small_airport,Uchkurgan Southeast Airport,41.04779815673828,72.11759948730469,1562.0,AS,UZ,,
58826,small_airport,Udurgi Airport,39.72769927978516,64.39129638671875,718.0,AS,UZ,,
58827,small_airport,Uychi Southeast Airport,41.00979995727539,71.94869995117188,1440.0,AS,UZ,,
58828,small_airport,Yangi-Kent Airport,38.6880989074707,66.08679962158203,1510.0,AS,UZ,,
58829,small_airport,Yaypan Northeast Airport,40.383145,70.926544,1790.0,AS,UZ,,
58830,small_airport,Zar Chob Airport,38.51599884033203,67.84660339355469,2530.0,AS,UZ,,
58831,small_airport,Alhi Airport,40.93519973754883,69.14109802246094,1091.0,AS,UZ,,
58832,small_airport,Aradzhi Airport,41.50798416137695,60.42179870605469,311.0,AS,UZ,,
58833,small_airport,Aravan Northeast Airport,40.58050155639648,72.35359954833984,1857.0,AS,UZ,,
58834,small_airport,Bakht Southeast Airport,40.70640182495117,68.68879699707031,864.0,AS,UZ,,
58835,small_airport,Bayaut Pervyy West Airport,40.42599868774414,68.96710205078125,936.0,AS,UZ,,
58836,small_airport,Beruni Airport,41.68532180786133,60.71579360961914,318.0,AS,UZ,,
58837,small_airport,Chambel Airport,40.023572,67.143373,2198.0,AS,UZ,,
58838,small_airport,Chim Airport,38.8302001953125,66.26249694824219,1480.0,AS,UZ,,
58839,small_airport,Chimkurgan Airport,40.37969970703125,67.66410064697266,925.0,AS,UZ,,
58840,small_airport,Chimkurgan Northwest Airport,40.410400390625,67.7842025756836,890.0,AS,UZ,,
58841,small_airport,Daul Airport,39.74359893798828,66.7238998413086,2082.0,AS,UZ,,
58842,small_airport,Denau Airport,38.2489013671875,67.92780303955078,1637.0,AS,UZ,,
58843,small_airport,Denau Southwest Airport,38.20940017700195,67.87560272216797,1690.0,AS,UZ,,
58844,small_airport,Dimitrovskoye Airport,40.29819869995117,69.0531005859375,997.0,AS,UZ,,
